,_,p,n,b,r,q
P,1.0934715806432127e-11,-6.539472852118422e-10,7.938537049945182e-10,2.0814285017767276e-10,-6.364729854269058e-10,2.0648061038741616e-10
N,-2.76891287676051e-10,-2.0249421583962146e-10,-2.10518047438768e-10,-4.1169201381308085e-10,-5.395249177975181e-11,8.751292468467398e-10
B,-5.877755504535287e-10,1.0860794485978431e-09,1.287648182524137e-10,-1.199276788987902e-10,-2.531885812118162e-09,-1.1544091238491205e-09
R,-6.7671551695625e-10,18898.443359375,-1.4114382995700225e-09,9.030389769293379e-10,2.3506561142028204e-09,-9.825780189487432e-10
Q,-2.258964793000473e-09,1.0957433849156928e-09,3.590037711553862e-10,-2.085853018085615e-10,-5.4317400577375e-10,5.552951987120025e-10
K,-1.953729844572649e-09,2.2517137043820412e-09,-5.854036699837195e-10,-5.11054476515227e-10,1.076505440344988e-09,9.328799954744227e-10
