,_,p,n,b,r,q
P,-341201.21875,782381154304.0,-2230603.5,291313.96875,2678446.25,1133936.875
N,3754388.5,918051.4375,-167394.0,491931.5,-521682.8125,-1683294.0
B,-2688251.5,-2732045.25,-1419419.375,-2052505.625,-363163.5625,453946.46875
R,509146464256.0,-1249389.5,637739.5625,-667670.625,-1533630.875,3109758.75
Q,1186349.875,-419063.21875,586190.3125,-59473.01171875,-1376066.375,2239958.5
K,-2188180.5,1164783.5,-974112.1875,-2233981.25,1388789.875,1538106.0
