,_,p,n,b,r,q
P,34.937068939208984,-0.10435377806425095,0.12153220176696777,-2.797481968297433e-10,-118.07830047607422,-235.5012664794922
N,-6.414670467376709,4.472506999969482,-0.3058314025402069,-80.8590087890625,0.004203476011753082,0.007829688489437103
B,-317.8864440917969,-6.534085750579834,9.258770296582952e-05,-11.148892402648926,230.6358642578125,2.6165053457205545e-10
R,-0.17436669766902924,0.0342775322496891,0.004206958692520857,-29.828611373901367,-0.7308270335197449,152.81919860839844
Q,102.4395980834961,0.07440933585166931,-593.7296752929688,2.248730182647705,27.007444381713867,-5.632678508758545
K,-0.024358462542295456,-60.44590377807617,0.9781419038772583,0.37283286452293396,-184.3772430419922,-0.9406413435935974
