,_,p,n,b,r,q
P,-0.02945847064256668,0.028928853571414948,0.1057356670498848,0.0257883258163929,-0.03006589598953724,-0.16485239565372467
N,-0.1231154352426529,0.07394012808799744,0.3516046106815338,-0.04017595574259758,0.11987754702568054,-0.15940546989440918
B,-0.245596244931221,-0.05996556952595711,0.11468689143657684,0.15149462223052979,-0.1338464766740799,-0.257126122713089
R,-0.22773350775241852,0.05509704351425171,0.027433663606643677,-0.10374853760004044,0.2138957977294922,-0.01905675046145916
Q,-0.11592991650104523,-0.058691270649433136,0.07765945047140121,0.038319364190101624,-0.0289560966193676,-0.0851992592215538
K,0.05790029838681221,0.15687982738018036,0.08269866555929184,0.05074388533830643,-0.0014080461114645004,-0.07033684849739075
