,_,p,n,b,r,q
P,-0.0017517412779852748,-0.0015529743395745754,0.0002548154443502426,0.00039484648732468486,0.0001148219162132591,0.0003785361477639526
N,0.0025360339786857367,-0.002750023268163204,-0.0005258997553028166,0.0073223109357059,0.0002110651257680729,-0.008658132515847683
B,0.001631957245990634,-0.000338607031153515,-0.0002620193699840456,0.00011753108992706984,-0.00010227932943962514,-0.0005514370277523994
R,0.00011384209938114509,0.022959120571613312,-0.00018002919387072325,-0.0005395947955548763,-0.0010004864307120442,-0.0024996926076710224
Q,0.0011590839130803943,0.002677061129361391,0.00043282960541546345,0.00022681283007841557,0.0001427382812835276,0.0002784112293738872
K,-0.000911866023670882,-0.0001970699377125129,-0.0019063303479924798,-0.000861590844579041,-0.00024186167865991592,7.255295349750668e-05
