,_,p,n,b,r,q
P,0.13756346702575684,0.06566574424505234,0.2702397406101227,0.05045526474714279,0.07751651108264923,-0.11891017854213715
N,0.15011033415794373,-0.15556278824806213,-0.11575324833393097,-0.008569910190999508,0.1272554099559784,0.08289170265197754
B,0.18067002296447754,0.018793774768710136,0.2168511003255844,0.13910669088363647,-0.02893368899822235,0.10391689836978912
R,-0.19711557030677795,0.22714343667030334,-0.0072458600625395775,0.09196760505437851,-0.18461431562900543,0.1877465695142746
Q,0.18000969290733337,0.10417520999908447,0.17621611058712006,0.1148131936788559,-0.2646750211715698,-0.11495698988437653
K,-0.07727320492267609,-0.30280616879463196,-0.06415755301713943,0.07799923419952393,0.14139510691165924,0.15523181855678558
